
72,563,385,811;20,408,536,351;1.001;/A;
72,574,254,041;32,247,511,606;1.000;1.001;
72,606,704,176;36,976,444,033;1.000;1.000;
72,507,199,139;54,691,364,502;0.999569;1.000;
72,483,593,606;49,972,016,539;0.999244;0.999569;
72,546,423,764;57,255,328,110;1.000;0.999244;
72,631,887,215;25,621,699,607;1.000;1.000;
72,569,743,809;32,984,797,771;1.001;1.000;
72,578,744,671;59,487,875,388;1.001;1.001;
73,342,226,815;58,941,772,868;1.001;1.001;
73,283,972,220;41,044,607,104;1.000;1.001;
73,281,161,166;42,574,391,547;1.000;1.000;
73,293,335,399;48,656,268,210;1.000;1.000;
73,292,755,419;33,846,701,615;1.000;1.000;
73,335,816,773;29,398,599,783;1.001;1.000;
73,306,682,138;47,031,193,646;1.001;1.001;
74,305,004,328;51,671,115,900;1.001;1.001;
74,284,590,323;47,953,137,803;1.000;1.001;
74,309,953,980;48,961,061,703;1.001;1.000;
75,855,994,703;58,842,890,813;1.001;1.001;
75,895,175,498;48,374,792,029;1.001;1.001;
75,987,316,851;54,179,108,733;1.003;1.001;
78,910,081,379;75,813,499,556;1.001;1.003;
79,438,155,501;132,259,308,337;0.998053;1.001;
82,690,895,711;149,603,764,420;0.995969;0.998053;
83,248,981,251;112,588,631,118;1.001;0.995969;
83,264,870,158;103,063,943,707;1.000;1.001;
83,279,712,048;62,841,996,907;1.002;1.000;
83,355,823,233;43,766,711,610;1.002;1.002;
83,284,503,885;62,277,908,159;1.001;1.002;
83,270,750,871;69,231,991,898;1.000;1.001;
83,185,453,774;58,210,506,143;0.999679;1.000;
83,241,023,586;42,588,775,990;1.001;0.999679;
83,147,512,568;54,204,899,479;1.001;1.001;
83,267,550,080;51,024,532,583;1.001;1.001;
83,424,696,945;46,803,422,697;1.003;1.001;
83,229,249,235;58,256,039,342;1.001;1.003;
83,139,556,788;60,407,700,490;0.999654;1.001;
83,154,011,772;56,020,755,571;0.999849;0.999654;
83,214,573,094;62,432,563,645;1.001;0.999849;
83,139,688,331;66,371,722,905;1.000;1.001;
83,221,428,016;35,477,151,595;1.000;1.000;
83,198,500,617;35,138,284,204;1.001;1.000;
83,182,809,348;55,616,984,621;1.000;1.001;
83,120,398,074;68,187,502,636;1.001;1.000;
83,021,908,772;58,792,094,905;0.999995;1.001;
82,787,027,489;52,203,857,295;0.999666;0.999995;
82,792,973,865;62,683,460,754;1.001;0.999666;
82,811,298,303;35,874,456,218;1.001;1.001;
82,797,938,661;31,915,932,062;1.001;1.001;
82,766,275,586;39,858,532,328;1.001;1.001;
82,795,954,521;48,379,418,415;1.001;1.001;
82,736,682,157;52,779,464,628;1.002;1.001;
82,881,751,671;62,450,044,404;1.002;1.002;
82,634,863,680;64,848,734,795;1.001;1.002;
82,714,703,438;37,485,416,839;1.001;1.001;
82,608,650,899;37,078,489,713;1.001;1.001;
82,582,177,981;58,600,559,398;1.001;1.001;
82,509,660,677;56,302,450,091;1.000;1.001;
82,422,893,105;79,495,709,485;0.999769;1.000;
